Player,Age,Team,Posicion
Lucas Vázquez,33,Real Madrid,DF
Vinicius Júnior,24,Real Madrid,FW
Fran Garcia,24,Real Madrid,DF
Rodrygo,23,Real Madrid,MF
Raúl Asencio,21,Real Madrid,DF
Luka Modrić,38,Real Madrid,MF
Brahim Díaz,24,Real Madrid,MF
Dani Ceballos,27,Real Madrid,MF
Arda Güler,19,Real Madrid,MF
Ferland Mendy,29,Real Madrid,DF
Eduardo Camavinga,21,Real Madrid,MF
Éder Militão,26,Real Madrid,DF
Andriy Lunin,25,Real Madrid,GK
Dani Carvajal,32,Real Madrid,DF
David Alaba,32,Real Madrid,DF
Endrick,18,Real Madrid,FW
Jacobo Ramón,19,Real Madrid,DF
Jesús Vallejo,27,Real Madrid,DF
Fran,19,Real Madrid,GK
Gonzalo García,20,Real Madrid,FW
Víctor Muñoz,21,Real Madrid,MF
Chema,19,Real Madrid,MF
Lorenzo Aguado,21,Real Madrid,DF
Daniel Yáñez,17,Real Madrid,MF
Diego Aguado,17,Real Madrid,DF
David Jiménez,20,Real Madrid,DF
Youssef Lekhedim,18,Real Madrid,DF
Sergio Mestre,19,Real Madrid,GK
Mario Rivas,17,Real Madrid,DF
Victor Valdepeñas,17,Real Madrid,DF
Joshua Kimmich,29,Bayern Munich,MF
Harry Kane,31,Bayern Munich,FW
Michael Olise,22,Bayern Munich,MF
Kim Min-jae,27,Bayern Munich,DF
Manuel Neuer,38,Bayern Munich,GK
Jamal Musiala,21,Bayern Munich,MF
Dayot Upamecano,25,Bayern Munich,DF
Konrad Laimer,27,Bayern Munich,DF
Raphaël Guerreiro,30,Bayern Munich,DF
Aleksandar Pavlovic,20,Bayern Munich,MF
Leroy Sané,28,Bayern Munich,MF
Alphonso Davies,23,Bayern Munich,DF
Eric Dier,30,Bayern Munich,DF
Kingsley Coman,28,Bayern Munich,MF
Leon Goretzka,29,Bayern Munich,MF
Serge Gnabry,29,Bayern Munich,MF
Thomas Müller,34,Bayern Munich,MF
Josip Stanišić,24,Bayern Munich,DF
Jonas Urbig,20,Bayern Munich,GK
João Palhinha,29,Bayern Munich,MF
Sacha Boey,23,Bayern Munich,DF
Daniel Peretz,24,Bayern Munich,GK
Hiroki Ito,25,Bayern Munich,DF
Mathys Tel,19,Bayern Munich,MF
Sven Ulreich,35,Bayern Munich,GK
Gabriel Vidovic,20,Bayern Munich,MF
Adam Aznou,18,Bayern Munich,DF
Jonah Kusi-Asare,17,Bayern Munich,FW
Arijon Ibrahimović,18,Bayern Munich,MF
Lennart Karl,16,Bayern Munich,MF
Wisdom Mike,15,Bayern Munich,FW
Noel Nkili,18,Bayern Munich,MF
Anthony Pavlesic,18,Bayern Munich,GK
Max Schmitt,18,Bayern Munich,GK
Mike Maignan,29,Milan,GK
Tijjani Reijnders,26,Milan,MF
Theo Hernández,26,Milan,DF
Youssouf Fofana,25,Milan,MF
Christian Pulisic,25,Milan,MF
Rafael Leão,25,Milan,MF
Matteo Gabbia,24,Milan,DF
Strahinja Pavlović,23,Milan,DF
Malick Thiaw,22,Milan,DF
Fikayo Tomori,26,Milan,DF
Yunus Musah,21,Milan,MF
Emerson,25,Milan,DF
Álex Jiménez,19,Milan,MF
Álvaro Morata,31,Milan,FW
Tammy Abraham,26,Milan,FW
Ruben Loftus-Cheek,28,Milan,MF
Samuel Chukwueze,25,Milan,MF
João Félix,24,Milan,MF
Santiago Giménez,23,Milan,FW
Kyle Walker,34,Milan,DF
Luka Jović,26,Milan,FW
Filippo Terracciano,21,Milan,DF
Noah Okafor,24,Milan,FW
Davide Calabria,27,Milan,DF
Ismaël Bennacer,26,Milan,MF
Warren Bondo,20,Milan,MF
Francesco Camarda,16,Milan,FW
Marco Sportiello,32,Milan,GK
Riccardo Sottil,25,Milan,MF
Davide Bartesaghi,18,Milan,DF
Alexis Saelemaekers,25,Milan,DF
Mattia Liberali,17,Milan,MF
Kevin Zeroli,19,Milan,MF
