player,position,country
Osame Sahraoui,LM,ma MAR
Oscar Gloukh,LW,il ISR
Otar Kiteishvili,LM,ge GEO
Ousmane Dembélé,RW,fr FRA
Ousmane Diomande,CB,ci CIV
Ousmane Toure,CB,fr FRA
Pablo Barrios,CM,es ESP
Pablo Torre,DM,es ESP
Pascal Groß,DM,de GER
Pascal Stenzel,RB,de GER
Patric Pfeiffer,CB,de GER
Patrik Schick,FW,cz CZE
Pau Cubarsí,CB,es ESP
Pau López,GK,es ESP
Pau Torres,CB,es ESP
Pau Victor,FW,es ESP
Paulo Bernardo,LM,pt POR
Paulo Gazzaniga,GK,ar ARG
Pedri,DM,es ESP
Pedrinho,RW,br BRA
Pedro Gonçalves,AM,pt POR
Pedro Henrique,LB,br BRA
Petar Ratkov,CM,rs SRB
Petar Sucic,CM,hr CRO
Peter Olayinka,LW,ng NGA
Peter Vindahl Jensen,GK,dk DEN
Phil Foden,CM,eng ENG
Philipp Köhn,GK,ch SUI
Piero Hincapié,CB,ec ECU
Pierre Kalulu,RB,fr FRA
Pierre Lees-Melou,CM,fr FRA
Piotr Zielinski,LM,rs SRB
Portu,AM,es ESP
Péter Gulácsi,GK,hu HUN
Qazim Laci,CM,al ALB
Quinten Timber,CM,nl NED
Rade Krunic,CM,pl POL
Radoslaw Majecki,DM,ba BIH
Rafael Leão,LW,pt POR
Rafael Tolói,CB,it ITA
Raheem Sterling,RW,eng ENG
Ramiz Zerrouki,CM,dz ALG
Ramy Bensebaini,LB,dz ALG
Randal Kolo Muani,FW,fr FRA
Raoul Bellanova,WB,it ITA
Raphael Onyedika,DM,ng NGA
Raphaël Guerreiro,RB,pt POR
Raphinha,LW,br BRA
Raúl Asencio,CB,es ESP
Raúl Torrente,CB,es ESP
Reinildo Mandava,CB,mz MOZ
Remo Freuler,CM,ch SUI
Renato Sanches,DM,pt POR
Reo Hatate,LM,jp JPN
Rhodri Smith,LB,ch SUI
Ricardo Esgaio,CB,pt POR
Ricardo Pepi,FW,us USA
Riccardo Calafiori,LB,it ITA
Riccardo Orsolini,RW,it ITA
Richy Ledezma,RB,us USA
Rick Karsdorp,RB,nl NED
Rico Lewis,DM,eng ENG
Robert Andrich,CM,de GER
Robert Lewandowski,FW,pl POL
Robin Le Normand,CB,es ESP
Rodri Hernández,DM,es ESP
Rodrigo De Paul,CM,ar ARG
Rodrigo Riquelme,WB,es ESP
Rodrygo,RW,br BRA
Romain Del Castillo,RW,fr FRA
Romain Faivre,RW,fr FRA
Romeo Vermant,CM,be BEL
Ronald Araújo,CB,uy URU
Ronaël Pierre-Gabriel,RB,fr FRA
Ross Barkley,DM,eng ENG
Ruben Loftus-Cheek,DM,eng ENG
Ryan Flamingo,CB,nl NED
Ryan Gravenberch,DM,nl NED
Rémy Cabella,LM,fr FRA
Róbert Mak,LW,sk SVK
Rúben Dias,CB,pt POR
Sacha Boey,RB,fr FRA
Sam Beukema,CB,nl NED
Samson Baidoo,CB,at AUT
Samuel Chukwueze,RW,ng NGA
Samuel Iling-Junior,RW,eng ENG
Samuel Lino,WB,br BRA
Samuel Mbangula,LW,be BEL
Samy Mmaee,CB,ma MAR
Sandro Kulenovic,GK,pl POL
Sandro Lauper,CM,ch SUI
Santiago Castro,FW,ar ARG
Santiago Giménez,FW,mx MEX
Sead Kolašinac,CB,ba BIH
Seedy Jatta,FW,no NOR
Senny Mayulu,RM,fr FRA
Seol Young-woo,RB,kr KOR
Serge Gnabry,LW,de GER
Sergi Dominguez,FW,es ESP
Serhou Guirassy,FW,gn GUI
Siemen Voet,LB,be BEL
Silas Katompa,RW,cd COD
Silvi Clúa,DM,es ESP
Silvère Ganvoula M'Boussy,FW,cg CGO
Simon Mignolet,GK,be BEL
Soumaïla Coulibaly,CB,fr FRA
Soungoutou Magassa,DM,fr FRA
Stefan Bajcetic,CM,es ESP
Stefan Hierländer,DM,at AUT
Stefan Ortega,GK,de GER
Stefan Posch,RB,at AUT
Stefan Ristovski,CB,mk MKD
